id_viaje,hora_dia,dia_semana,linea,estacion_origen,estacion_destino,distancia_km,tiempo_viaje_min,ocupacion_porc,temperatura_c,lluvia,evento_especial,retraso_min,clasificacion_retraso
34,8,5,2,3,8,6.1,25,91,23,0,0,7,Medio
35,9,5,1,2,6,3.8,14,74,23,0,0,1,Bajo
36,12,5,3,7,12,8.5,30,54,24,0,0,0,Ninguno
37,13,5,2,5,9,5.0,20,59,24,0,0,0,Ninguno
38,17,5,1,4,8,5.5,22,92,23,0,0,10,Alto
39,18,5,3,9,14,9.2,35,95,22,0,0,13,Alto
40,19,5,2,6,10,7.0,28,84,21,0,0,5,Medio
41,10,6,1,2,7,5.1,20,45,26,0,0,0,Ninguno
42,11,6,2,4,9,6.0,23,42,27,0,0,0,Ninguno
43,14,6,3,6,11,7.2,26,48,28,0,0,0,Ninguno
44,15,6,1,3,8,5.8,22,50,28,0,0,1,Bajo
45,16,6,2,5,10,6.5,25,55,27,0,0,1,Bajo
46,10,7,1,2,7,5.1,20,40,24,1,0,0,Ninguno
47,11,7,2,4,9,6.0,23,38,23,1,0,1,Bajo
48,14,7,3,6,11,7.2,26,44,22,1,0,2,Bajo
49,15,7,1,3,8,5.8,22,47,22,1,0,4,Medio
50,16,7,2,5,10,6.5,25,50,21,1,0,3,Medio
51,7,1,1,1,3,2.8,11,87,22,0,0,3,Medio
52,8,2,2,2,6,4.9,19,88,20,1,0,6,Medio
53,17,3,1,4,7,5.0,20,91,25,0,0,9,Alto
54,18,4,2,8,13,8.8,33,96,19,0,1,19,Alto
55,6,5,3,1,6,5.5,21,69,22,0,0,2,Bajo
56,12,6,1,5,9,4.8,18,47,27,0,0,0,Ninguno
57,19,1,2,7,11,7.3,29,89,21,0,0,7,Medio
58,9,2,3,3,8,5.2,19,76,20,1,0,4,Medio
59,13,3,1,6,10,4.5,17,62,26,0,0,0,Ninguno
60,17,4,2,4,9,6.1,24,94,19,0,1,16,Alto
61,7,5,3,2,7,5.6,21,82,22,0,0,5,Medio
62,18,6,1,8,13,7.8,29,53,27,0,0,1,Bajo
63,8,7,2,1,5,3.9,15,42,23,1,0,2,Bajo
64,14,1,3,9,14,9.0,34,57,24,0,0,0,Ninguno
65,17,2,1,3,7,4.8,19,93,18,1,0,13,Alto
66,18,3,2,6,10,7.1,27,95,25,0,0,14,Alto
67,19,4,3,10,15,10.3,39,97,18,0,1,21,Alto
68,6,5,1,1,4,3.4,12,71,22,0,0,2,Bajo
69,12,6,2,4,8,5.9,22,49,28,0,0,0,Ninguno
70,13,7,3,7,12,8.3,31,46,24,1,0,1,Bajo
71,8,1,1,2,5,3.7,14,86,23,0,0,5,Medio
72,9,2,2,3,7,5.4,21,77,20,1,0,4,Medio
73,17,3,3,5,9,6.3,24,92,26,0,0,11,Alto
74,18,4,1,8,13,7.7,29,95,19,0,1,17,Alto
75,7,5,2,1,6,4.7,18,81,22,0,0,4,Medio
76,19,6,3,9,14,9.1,35,55,27,0,0,1,Bajo
77,6,7,1,1,4,3.6,13,68,23,1,0,3,Medio
78,12,1,2,5,9,5.1,20,56,24,0,0,0,Ninguno
79,14,2,3,6,11,7.4,27,54,19,1,0,1,Bajo
80,17,3,1,4,8,5.7,22,94,25,0,0,12,Alto
81,8,4,2,2,7,5.5,21,83,19,0,1,8,Alto
82,18,5,3,10,15,10.0,38,97,22,0,0,16,Alto
83,9,6,1,3,6,4.1,15,48,27,0,0,0,Ninguno
84,13,7,2,4,9,6.0,23,45,24,1,0,1,Bajo
85,7,1,3,1,5,4.3,17,84,22,0,0,3,Medio
86,17,2,1,5,8,5.9,23,91,18,1,0,10,Alto
87,18,3,2,7,11,7.6,29,93,25,0,0,13,Alto
88,19,4,3,9,14,9.3,35,96,18,0,1,20,Alto
89,6,5,1,1,3,2.9,11,72,22,0,0,2,Bajo
90,12,6,2,4,8,5.8,22,50,28,0,0,0,Ninguno
91,8,7,3,2,7,5.3,20,43,23,1,0,1,Bajo
92,14,1,1,6,10,4.6,18,58,24,0,0,0,Ninguno
93,17,2,2,3,8,5.5,21,93,18,1,0,14,Alto
94,18,3,3,8,13,8.6,32,95,25,0,0,15,Alto
95,19,4,1,10,15,10.2,38,97,18,0,1,22,Alto
96,7,5,2,1,5,4.0,16,80,22,0,0,4,Medio
97,9,6,3,3,7,5.7,22,47,27,0,0,0,Ninguno
98,13,7,1,5,9,4.9,19,44,24,1,0,1,Bajo
99,17,1,2,4,8,6.0,23,92,22,0,0,11,Alto
100,18,2,3,9,14,9.0,34,94,18,1,0,15,Alto
